ProteinName	FullName	PDBs	SsLens	SeqLen	SsCount	SsAvgLen	SsLenSum	DomainCount
3SX_DENPO	Dendroaspis polylepis MT9	6r5m	3,5,3,6,8,6	57	6	5,16666666666667	31	0
AAPAT_THET8	Aspartate/prephenate aminotransferase	1b5o/1b5p/1bjw/1bkg/1gc3/1gc4/1gck	5,14,12,13,3,5,13,7,8,6,3,5,9,13,5,4,3,7,3,4,12,3,12,29,9,10,3,3,5,10,4	385	31	7,80645161290323	242	0
ACEA_MAGO7	Isocitrate lyase	5e9g	16,3,5,19,5,7,3,7,4,26,6,4,3,14,8,3,18,6,3,3,9,14,9,12,10,3,3,11,3,5,12,4,4,13,6,20,7,7,3,4,10	547	41	8,09756097560976	332	0
ACEA_MYCTU	Isocitrate lyase	1f61/1f8i/1f8m/5dql/6xpp	10,3,6,16,5,9,3,7,3,23,4,13,8,3,17,6,3,3,5,3,11,3,5,14,5,3,4,13,6,20,14,3,4,11,5	428	35	7,74285714285714	271	0
ACRB_ECOLI	Multidrug efflux pump subunit AcrB	2gif/2hrt/2j8s/2w1b/3d9b/3w9h/4dx5/4dx6/4dx7/4u8v/4u8y/4u95/4u96/4zit/4ziv/4zjl/4zjo/4zlj/4zll/5jmn/5nc5/5ng5/5o66/5v5s/6q4n/6q4o/6q4p/6sgr/6sgs/6sgt/6sgu/6zo5/6zo6/6zo7/6zo8/6zo9/6zoa/6zob/6zoc/6zod/6zoe/6zof/6zog/6zoh	5,21,4,7,7,5,9,9,3,15,3,4,3,13,3,11,6,8,7,6,11,6,4,5,4,3,3,8,4,11,4,15,3,3,8,30,24,32,27,4,36,3,25,3,19,4,7,3,16,11,13,3,3,12,3,5,3,3,8,16,8,8,7,13,8,9,3,3,6,3,3,3,3,9,6,10,3,12,5,3,4,20,4,5,15,30,26,4,3,36,3,3	1049	92	9,04347826086956	832	0
ADE_PSEAE	Adenine deaminase	3ou8/3pan/3pao/3pbm	5,3,3,4,10,4,6,11,3,17,4,5,19,5,11,6,7,4,9,7,9,5,5,10,3,6,4,3,7,3,4,12,13	316	33	6,87878787878788	227	0
ADRM1_HUMAN	Proteasomal ubiquitin receptor ADRM1	2kqz/2kr0/2l5v/2mkz/2nbv/5irs/5v1y/5v1z/5ymy/6co4/6uyi/6uyj	12,4,7,7,7,6,3,6,3,6,4,13,3,5,8,3,3,4,4,3,7,3,3,6,15,6,9,10,3,3	407	30	5,86666666666667	176	2
ALDH_VIBHA	NADP-dependent fatty aldehyde dehydrogenase	1eyy/1ez0	5,3,20,17,12,24,3,4,3,7,4,3,9,4,18,3,4,8,6,13,3,4,4,6,9,4,7,16,15,5,6,6,4,11,9,7,3,12,8,3,3,3,7,8,3,3,3	510	47	7,27659574468085	342	0
ALG13_YEAST	UDP-N-acetylglucosamine transferase subunit ALG13	2jzc/2ks6	4,3,7,8,3,3,5,4,5,6,4,8,5,9,4,12,6,8,3,8	202	20	5,75	115	0
ALR2_PSEAE	Alanine racemase, catabolic	1rcq	5,15,6,5,8,7,9,3,3,6,5,9,7,3,4,13,7,13,6,3,4,4,3,13,3,3,10,3,4,5,4,9,7,6,4	357	35	6,25714285714286	219	0
AMPD_CITFR	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1j3g/2y28/2y2b/2y2c/2y2d/2y2e	3,3,3,7,6,6,4,3,4,3,4,8,3,17,5,3,4,7	187	18	5,16666666666667	93	1
AMYS_NEIPO	Amylosucrase	1g5a/1jg9/1jgi/1mvy/1mw0/1mw1/1mw2/1mw3/1s46/1zs2/3ueq/4flo/4flq/4flr/4fls/5n6v/5n7j	8,3,9,25,18,11,5,4,5,6,7,5,4,13,6,4,7,3,5,6,3,3,3,4,15,5,3,3,17,4,4,3,6,13,9,6,6,12,3,3,5,3,14,8,3,3,5,4,18,3,3,6,6,3,3,5,3,3,5	636	59	6,47457627118644	382	0
AOFA_HUMAN	Amine oxidase [flavin-containing] A	2z5x/2z5y	5,12,4,6,4,6,9,3,8,5,3,19,3,6,8,15,9,5,3,4,11,3,4,5,9,9,4,5,7,7,4,8,5,7,7,16,3,8,3,4,3,3,3,3,18,3,3,3,5,23	527	50	6,66	333	0
