ProteinName	FullName	PDBs	SsLens	SeqLen	SsCount	SsAvgLen	SsLenSum	DomainCount
ACEA_MAGO7	Isocitrate lyase	5e9g	16,3,5,19,5,7,3,7,4,26,6,4,3,14,8,3,18,6,3,3,9,14,9,12,10,3,3,11,3,5,12,4,4,13,6,20,7,7,3,4,10	547	41	8,09756097560976	332	0
ACPM_MYCTU	Meromycolate extension acyl carrier protein	1klp	12,15,4,12,3	115	5	9,2	46	1
ACRB_ECOLI	Multidrug efflux pump subunit AcrB	2gif/2hrt/2j8s/2w1b/3d9b/3w9h/4dx5/4dx6/4dx7/4u8v/4u8y/4u95/4u96/4zit/4ziv/4zjl/4zjo/4zlj/4zll/5jmn/5nc5/5ng5/5o66/5v5s/6q4n/6q4o/6q4p/6sgr/6sgs/6sgt/6sgu/6zo5/6zo6/6zo7/6zo8/6zo9/6zoa/6zob/6zoc/6zod/6zoe/6zof/6zog/6zoh	5,21,4,7,7,5,9,9,3,15,3,4,3,13,3,11,6,8,7,6,11,6,4,5,4,3,3,8,4,11,4,15,3,3,8,30,24,32,27,4,36,3,25,3,19,4,7,3,16,11,13,3,3,12,3,5,3,3,8,16,8,8,7,13,8,9,3,3,6,3,3,3,3,9,6,10,3,12,5,3,4,20,4,5,15,30,26,4,3,36,3,3	1049	92	9,04347826086956	832	0
ADE_PSEAE	Adenine deaminase	3ou8/3pan/3pao/3pbm	5,3,3,4,10,4,6,11,3,17,4,5,19,5,11,6,7,4,9,7,9,5,5,10,3,6,4,3,7,3,4,12,13	316	33	6,87878787878788	227	0
ADH6_YEAST	NADP-dependent alcohol dehydrogenase 6	1piw/1ps0/1q1n	6,3,5,11,7,3,8,4,4,3,4,3,5,9,3,3,4,4,11,5,13,9,6,5,3,4,6,3,4,9,3,3,4,13,7,13,7,4	360	38	5,81578947368421	221	0
ADH7_HUMAN	All-trans-retinol dehydrogenase [NAD(+)] ADH7	1agn/1d1s/1d1t	10,7,10,8,3,3,9,4,3,4,9,8,3,3,4,4,10,5,12,6,3,7,4,3,9,4,8,4,3,4,4,3,12,3,6,3,9,6	386	38	5,78947368421053	220	0
ADRM1_HUMAN	Proteasomal ubiquitin receptor ADRM1	2kqz/2kr0/2l5v/2mkz/2nbv/5irs/5v1y/5v1z/5ymy/6co4/6uyi/6uyj	12,4,7,7,7,6,3,6,3,6,4,13,3,5,8,3,3,4,4,3,7,3,3,6,15,6,9,10,3,3	407	30	5,86666666666667	176	2
AL4A1_HUMAN	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	3v9g/3v9h	7,13,3,3,3,6,10,20,16,12,11,14,8,7,9,5,3,13,4,9,8,13,4,6,5,13,4,7,12,16,5,3,6,4,9,3,10,3,5,10,7,3,3,5,8,3	563	46	7,6304347826087	351	0
ALDH_VIBHA	NADP-dependent fatty aldehyde dehydrogenase	1eyy/1ez0	5,3,20,17,12,24,3,4,3,7,4,3,9,4,18,3,4,8,6,13,3,4,4,6,9,4,7,16,15,5,6,6,4,11,9,7,3,12,8,3,3,3,7,8,3,3,3	510	47	7,27659574468085	342	0
ALG13_YEAST	UDP-N-acetylglucosamine transferase subunit ALG13	2jzc/2ks6	4,3,7,8,3,3,5,4,5,6,4,8,5,9,4,12,6,8,3,8	202	20	5,75	115	0
AMPA_ECOLI	Cytosol aminopeptidase	1gyt	5,3,6,7,3,8,6,9,17,5,3,16,5,3,26,14,6,6,8,3,8,11,8,16,13,3,3,11,4,7,7,7,14,3,4,3,7,10,5,3,3,11	503	42	7,61904761904762	320	0
AMPD_CITFR	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1j3g/2y28/2y2b/2y2c/2y2d/2y2e	3,3,3,7,6,6,4,3,4,3,4,8,3,17,5,3,4,7	187	18	5,16666666666667	93	1
AMYS_NEIPO	Amylosucrase	1g5a/1jg9/1jgi/1mvy/1mw0/1mw1/1mw2/1mw3/1s46/1zs2/3ueq/4flo/4flq/4flr/4fls/5n6v/5n7j	8,3,9,25,18,11,5,4,5,6,7,5,4,13,6,4,7,3,5,6,3,3,3,4,15,5,3,3,17,4,4,3,6,13,9,6,6,12,3,3,5,3,14,8,3,3,5,4,18,3,3,6,6,3,3,5,3,3,5	636	59	6,47457627118644	382	0
AOFA_HUMAN	Amine oxidase [flavin-containing] A	2z5x/2z5y	5,12,4,6,4,6,9,3,8,5,3,19,3,6,8,15,9,5,3,4,11,3,4,5,9,9,4,5,7,7,4,8,5,7,7,16,3,8,3,4,3,3,3,3,18,3,3,3,5,23	527	50	6,66	333	0
APR_MOUSE	Phorbol-12-myristate-13-acetate-induced protein 1	2jm6/2rod	18,14	103	2	16	32	0
ARGA_MYCTU	Amino-acid acetyltransferase	5yge/5yo2/6add	3,3,11,6,3,5,11,9,3,3,15,7,5,3,10,4,4,4,6	174	19	6,05263157894737	115	1
ARGB_STRMU	Acetylglutamate kinase	3l86	6,3,12,6,10,13,10,3,5,6,4,9,9,9,3,11,6,4,3,3,5,13,10,5	245	24	7	168	0
AROD_ARCFU	3-dehydroquinate dehydratase	2ox1	6,6,6,6,3,3,15,6,3,12,9,9,13,9,4,8,9,11	196	18	7,66666666666667	138	0
AT5G2_BOVIN	ATP synthase F(0) complex subunit C2, mitochondrial	6z1r/6z1u/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	9,3,21,3,30	143	5	13,2	66	0
ATP6_BOVIN	ATP synthase subunit a	5ara/5are/5arh/5ari/5fij/5fik/5fil/6zpo/6zqm/6zqn/7ajb/7ajc/7ajd/7aje/7ajf/7ajg/7ajh/7aji/7ajj	3,4,4,6,3,18,24,3,22,7,3,44,39	226	13	13,8461538461538	180	0
ATP8_PIG	ATP synthase protein 8	6j5i/6j5j/6j5k	3,8,4,15	67	4	7,5	30	0
ATPD_ECOLI	ATP synthase subunit delta	1abv/2a7u/5t4o/5t4p/5t4q/6oqr/6oqs/6oqt/6oqu/6oqv/6oqw/6pqv/6wnq/6wnr	17,15,6,9,3,12,3,15,6,12,5,4,3,7,4,11	177	16	8,25	132	0
