ID	FullName	SsCount	SsAvgLen	StRes
CFAH_HUMAN	Complement factor H	111	4,423423423	-3,284035814
RAG2_MOUSE	V(D)J recombination-activating protein 2	50	4,28	-2,482581176
RL2_DEIRA	50S ribosomal protein L2	35	4,2	-2,227833081
FSCN1_HUMAN	Fascin	63	4,873015873	-2,148994897
RPB2_YEAST	DNA-directed RNA polymerase II subunit RPB2	137	5,474452555	-2,110075048
VATD_ENTFC	Streptogramin A acetyltransferase	23	4,043478261	-2,023536676
IP21_SOLLC	Wound-induced proteinase inhibitor 2	11	3,181818182	-2,008231813
